id,pid,code,description,section
-1,,,Live animals; animal products,SECTION I
301,-1,0100000000,Live animals,
401,301,0101000000,"Live horses, asses, mules and hinnies",
1301,401,,Horses,
5201,1301,0101210000,Pure-bred breeding animals,
5301,1301,0101290000,Other,
11301,5301,0101291000,For slaughter,
11401,5301,0101299000,Other,
1401,401,0101300000,Asses,
1501,401,0101900000,Other,
501,301,0102000000,Live bovine animals,
1901,501,,Cattle,
6001,1901,0102210000,Pure-bred breeding animals,
11701,6001,0102211000,Heifers (female bovines that have never calved),
11801,6001,0102213000,Cows,
11901,6001,0102219000,Other,
6101,1901,0102290000,Other,
12001,6101,0102290500,Of the sub-genus Bibos or of the sub-genus Poephagus,
12201,6101,,Other,
16801,12201,0102291000,Of a weight not exceeding 80 kg,
22201,16801,0102291010,"Young male bovine animals, intended for fattening",
22301,16801,0102291020,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",
22401,16801,0102291030,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",
22501,16801,0102291040,"Heifers of the spotted Simmental breed, other than for slaughter",
22601,16801,0102291050,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",
22701,16801,0102291090,Other,
17601,12201,,Of a weight exceeding 80 kg but not exceeding 160 kg,
22801,17601,0102292100,For slaughter,
22901,17601,0102292900,Other,
29001,22901,0102292910,"Young male bovine animals, intended for fattening",
29101,22901,0102292920,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",
29201,22901,0102292930,Heifers of the Schwyz and Fribourg breeds,
29301,22901,0102292940,Heifers of the spotted Simmental breed,
29401,22901,0102292950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",
29501,22901,0102292990,Other,
17901,12201,,Of a weight exceeding 160 kg but not exceeding 300 kg,
23601,17901,0102294100,For slaughter,
23701,17901,0102294900,Other,
29601,23701,0102294910,"Young male bovine animals, intended for fattening",
29701,23701,0102294920,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",
29801,23701,0102294930,Heifers and cows of the Schwyz and Fribourg breeds,
29901,23701,0102294940,Heifers and cows of the spotted Simmental breed,
30001,23701,0102294950,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",
30101,23701,0102294990,Other,
18201,12201,,Of a weight exceeding 300 kg,
24501,18201,,Heifers (female bovines that have never calved),
30201,24501,0102295100,For slaughter,
35701,30201,0102295110,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",
35801,30201,0102295190,Other,
30501,24501,0102295900,Other,
36001,30501,,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",
40101,36001,0102295911,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",
40201,36001,0102295919,Other,
36301,30501,,Of the Schwyz and Fribourg breeds,
40301,36301,0102295921,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",
40401,36301,0102295929,Other,
36601,30501,,Of the spotted Simmental breed,
40501,36601,0102295931,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",
40601,36601,0102295939,Other,
36901,30501,,Other,
40701,36901,0102295991,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",
40801,36901,0102295999,Other,
24801,18201,,Cows,
31001,24801,0102296100,For slaughter,
31101,24801,0102296900,Other,
37101,31101,0102296910,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",
37201,31101,0102296920,Of the Schwyz and Fribourg breeds,
37301,31101,0102296930,Of the spotted Simmental breed,
37401,31101,0102296990,Other,
25101,18201,,Other,
31601,25101,0102299100,For slaughter,
37501,31601,0102299110,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",
37601,31601,0102299190,Other,
31901,25101,0102299900,Other,
37801,31901,,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",
40901,37801,0102299921,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",
41001,37801,0102299929,Other,
38101,31901,,Other,
41101,38101,0102299991,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",
41201,38101,0102299999,Other,
2001,501,,Buffalo,
6201,2001,0102310000,Pure-bred breeding animals,
6301,2001,0102390000,Other,
12601,6301,0102391000,Domestic species,
18501,12601,0102391010,Of a weight exceeding 160 kg,
18601,12601,0102391090,Other,
12701,6301,0102399000,Other,
2101,501,0102900000,Other,
6601,2101,0102902000,Pure-bred breeding animals,
6801,2101,,Other,
13401,6801,0102909100,Domestic species,
21201,13401,0102909110,Of a weight exceeding 160 kg,
21301,13401,0102909190,Other,
13501,6801,0102909900,Other,
601,301,0103000000,Live swine,
2201,601,0103100000,Pure-bred breeding animals,
2301,601,,Other,
6901,2301,0103910000,Weighing less than 50 kg,
13601,6901,0103911000,Domestic species,
13701,6901,0103919000,Other,
7001,2301,0103920000,Weighing 50 kg or more,
13901,7001,,Domestic species,
21401,13901,0103921100,"Sows having farrowed at least once, of a weight of not less than 160 kg",
21501,13901,0103921900,Other,
14001,7001,0103929000,Other,
701,301,0104000000,Live sheep and goats,
2401,701,0104100000,Sheep,
7101,2401,0104101000,Pure-bred breeding animals,
7201,2401,,Other,
14101,7201,0104103000,Lambs (up to a year old),
14201,7201,0104108000,Other,
2501,701,0104200000,Goats,
7401,2501,0104201000,Pure-bred breeding animals,
7501,2501,0104209000,Other,
801,301,0105000000,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",
2601,801,,Weighing not more than 185 g,
10701,2601,0105110000,Fowls of the species Gallus domesticus,
14301,10701,,Grandparent and parent female chicks,
21601,14301,0105111100,Laying stocks,
21701,14301,0105111900,Other,
14401,10701,,Other,
21801,14401,0105119100,Laying stocks,
21901,14401,0105119900,Other,
7801,2601,0105120000,Turkeys,
7901,2601,0105130000,Ducks,
8001,2601,0105140000,Geese,
8101,2601,0105150000,Guinea fowls,
2901,801,,Other,
8601,2901,0105940000,Fowls of the species Gallus domesticus,
8701,2901,0105990000,Other,
14801,8701,0105991000,Ducks,
14901,8701,0105992000,Geese,
15001,8701,0105993000,Turkeys,
15101,8701,0105995000,Guinea fowls,
901,301,0106000000,Other live animals,
3601,901,,Mammals,
9201,3601,0106110000,Primates,
9301,3601,0106120000,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",
9401,3601,0106130000,Camels and other camelids (Camelidae),
9501,3601,0106140000,Rabbits and hares,
15201,9501,0106141000,Domestic rabbits,
15301,9501,0106149000,Other,
9601,3601,0106190000,Other,
3701,901,0106200000,Reptiles (including snakes and turtles),
3801,901,,Birds,
9801,3801,0106310000,Birds of prey,
9901,3801,0106320000,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",
10001,3801,0106330000,Ostriches; emus (Dromaius novaehollandiae),
10101,3801,0106390000,Other,
15601,10101,0106391000,Pigeons,
15701,10101,0106398000,Other,
3901,901,,Insects,
10201,3901,0106410000,Bees,
10301,3901,0106490000,Other,
4001,901,0106900000,Other,
302,-1,0200000000,Meat and edible meat offal,
402,302,0201000000,"Meat of bovine animals, fresh or chilled",
1602,402,0201100000,Carcases and half-carcases,
7502,1602,,High quality beef and veal,
25202,7502,0201100021,Of bison,
25302,7502,0201100029,Other,
7702,1602,,Other,
25502,7702,,"Carcases of a weight of 180 kg or more but not exceeding 300 kg and half-carcases, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",
54102,25502,0201100092,Of bison,
54202,25502,0201100094,Other,
25602,7702,,Other,
54302,25602,0201100097,Of bison,
54402,25602,0201100098,Other,
1702,402,0201200000,Other cuts with bone in,
8002,1702,0201202000,'Compensated' quarters,
26302,8002,,High quality beef and veal,
54702,26302,0201202021,Of bison,
54802,26302,0201202029,Other,
26502,8002,,Other,
55002,26502,,"""Compensated"" quarters, of a weight of 90 kg or more but not exceeding 150 kg, with a low degree of ossification of the cartilages (in particular those of the symphysis pubis and the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",
83602,55002,0201202092,Of bison,
83702,55002,0201202094,Other,
55102,26502,,Other,
83802,55102,0201202097,Of bison,
83902,55102,0201202098,Other,
8302,1702,0201203000,Unseparated or separated forequarters,
26902,8302,,High quality beef and veal,
55702,26902,0201203021,Of bison,
55802,26902,0201203029,Other,
27102,8302,,Other,
56002,27102,,"Separated forequarters of a weight of 45 kg or more but not exceeding 75 kg, with a low degree of ossification of the cartilages (in particular those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",
84202,56002,0201203092,Of bison,
84302,56002,0201203094,Other,
56102,27102,,Other,
84402,56102,0201203097,Of bison,
84502,56102,0201203098,Other,
8502,1702,0201205000,Unseparated or separated hindquarters,
27502,8502,,High quality beef and veal,
56702,27502,0201205021,Of bison,
56802,27502,0201205029,Other,
27702,8502,,Other,
57002,27702,,"Separated hindquarters of a weight of 45 kg or more but not exceeding 75 kg (38 kg or more but not exceeding 68 kg in the case of ""Pistola"" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour",
84802,57002,0201205092,Of bison,
84902,57002,0201205094,Other,
57102,27702,,Other,
85002,57102,0201205097,Of bison,
85102,57102,0201205098,Other,
8702,1702,0201209000,Other,
28102,8702,,High quality beef and veal,
57702,28102,0201209011,Of bison,
57802,28102,0201209015,Other,
28302,8702,,Other,
57902,28302,0201209091,Of bison,
58002,28302,0201209099,Other,
1802,402,0201300000,Boneless,
9102,1802,,High quality,
28502,9102,0201300031,Of bison,
28602,9102,0201300039,Other,
9202,1802,,Other,
28702,9202,,Buffalo meat,
58102,28702,0201300041,Of bison,
58202,28702,0201300049,Other,
28802,9202,0201300090,Other,
502,302,0202000000,"Meat of bovine animals, frozen",
1902,502,0202100000,Carcases and half-carcases,
9402,1902,,High quality beef and veal,
28902,9402,0202100011,Of bison,
29002,9402,0202100015,Other,
9602,1902,,Other,
29102,9602,0202100091,Of bison,
29202,9602,0202100099,Other,
2002,502,0202200000,Other cuts with bone in,
9702,2002,0202201000,'Compensated' quarters,
29402,9702,,High quality beef and veal,
58302,29402,0202201011,Of bison,
58402,29402,0202201015,Other,
29602,9702,,Other,
58502,29602,0202201091,Of bison,
58602,29602,0202201099,Other,
9802,2002,0202203000,Unseparated or separated forequarters,
29802,9802,,High quality beef and veal,
58702,29802,0202203011,Of bison,
58802,29802,0202203015,Other,
29902,9802,,Other,
58902,29902,,Intended for processing,
85602,58902,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
111202,85602,0202203081,Of bison,
111302,85602,0202203082,Other,
85702,58902,,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
111402,85702,0202203083,Of bison,
111502,85702,0202203084,Other,
85802,58902,,Other,
111602,85802,0202203085,Of bison,
111702,85802,0202203086,Other,
59002,29902,,Other,
85902,59002,0202203087,Of bison,
86002,59002,0202203088,Other,
9902,2002,0202205000,Unseparated or separated hindquarters,
30302,9902,,High quality beef and veal,
59402,30302,0202205011,Of bison,
59502,30302,0202205015,Other,
30502,9902,,Other,
59602,30502,0202205091,Of bison,
59702,30502,0202205099,Other,
10002,2002,0202209000,Other,
30702,10002,,High quality beef and veal,
59802,30702,0202209011,Of bison,
59902,30702,0202209015,Other,
30902,10002,,Other,
60002,30902,0202209091,Of bison,
60102,30902,0202209099,Other,
2102,502,0202300000,Boneless,
10102,2102,0202301000,"Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece",
31102,10102,,High quality beef and veal,
60202,31102,0202301011,Of bison,
60302,31102,0202301015,Other,
31202,10102,,Other,
60402,31202,,Intended for processing,
86402,60402,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
111802,86402,0202301081,Of bison,
111902,86402,0202301082,Other,
86502,60402,,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
112002,86502,0202301083,Of bison,
112102,86502,0202301084,Other,
86602,60402,,Other,
112202,86602,0202301085,Of bison,
112302,86602,0202301086,Other,
60502,31202,,Other,
86702,60502,0202301087,Of bison,
86802,60502,0202301088,Other,
10202,2102,0202305000,"Crop, chuck-and-blade and brisket cuts",
31602,10202,,High quality beef and veal,
60902,31602,0202305011,Of bison,
61002,31602,0202305015,Other,
31702,10202,,Other,
61102,31702,,Intended for processing,
87202,61102,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
112402,87202,0202305081,Of bison,
112502,87202,0202305082,Other,
87302,61102,,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
112602,87302,0202305083,Of bison,
112702,87302,0202305084,Other,
87402,61102,,Other,
112802,87402,0202305085,Of bison,
112902,87402,0202305086,Other,
61202,31702,,Other,
87502,61202,0202305087,Of bison,
87602,61202,0202305088,Other,
10302,2102,0202309000,Other,
32102,10302,,High quality,
61602,32102,0202309011,Of bison,
61702,32102,0202309015,Other,
32302,10302,,Other,
61802,32302,,Buffalo meat,
88002,61802,,Intended for processing,
113002,88002,,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
129902,113002,0202309041,Of bison,
130002,113002,0202309042,Other,
113102,88002,,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
130102,113102,0202309043,Of bison,
130202,113102,0202309044,Other,
113202,88002,,Other,
130302,113202,0202309045,Of bison,
130402,113202,0202309046,Other,
88102,61802,,Other,
113302,88102,0202309047,Of bison,
113402,88102,0202309048,Other,
81202,32302,,Other,
88402,81202,,Intended for processing,
113802,88402,0202309070,"For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)",
113902,88402,0202309075,"For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)",
114002,88402,0202309080,Other,
88502,81202,0202309090,Other,
602,302,0203000000,"Meat of swine, fresh, chilled or frozen",
2202,602,,Fresh or chilled,
10402,2202,0203110000,Carcases and half-carcases,
32602,10402,0203111000,Of domestic swine,
32702,10402,0203119000,Other,
10502,2202,0203120000,"Hams, shoulders and cuts thereof, with bone in",
32802,10502,,Of domestic swine,
62302,32802,0203121100,Hams and cuts thereof,
62402,32802,0203121900,Shoulders and cuts thereof,
32902,10502,0203129000,Other,
10602,2202,0203190000,Other,
33002,10602,,Of domestic swine,
62502,33002,0203191100,Fore-ends and cuts thereof,
62602,33002,0203191300,"Loins and cuts thereof, with bone in",
81502,33002,0203191500,Bellies (streaky) and cuts thereof,
63002,33002,,Other,
109102,63002,0203195500,Boneless,
114102,109102,0203195510,"Tenderloin, presented separately",
114202,109102,,"Loins and cuts thereof, excluding tenderloin presented separately",
130502,114202,0203195515,Loins,
130602,114202,0203195525,Cuts,
114402,109102,0203195530,Hams,
114502,109102,0203195590,Other,
89002,63002,0203195900,Other,
33102,10602,0203199000,Other,
2302,602,,Frozen,
10702,2302,0203210000,Carcases and half-carcases,
33202,10702,0203211000,Of domestic swine,
33302,10702,0203219000,Other,
10802,2302,0203220000,"Hams, shoulders and cuts thereof, with bone in",
33402,10802,,Of domestic swine,
63102,33402,0203221100,Hams and cuts thereof,
63202,33402,0203221900,Shoulders and cuts thereof,
33502,10802,0203229000,Other,
10902,2302,0203290000,Other,
33602,10902,,Of domestic swine,
63302,33602,0203291100,Fore-ends and cuts thereof,
63402,33602,0203291300,"Loins and cuts thereof, with bone in",
81702,33602,0203291500,Bellies (streaky) and cuts thereof,
63802,33602,,Other,
109202,63802,0203295500,Boneless,
114702,109202,,"Loins and cuts thereof, excluding tenderloin presented separately",
130702,114702,0203295520,Loins,
130802,114702,0203295530,Cuts,
114902,109202,,Other,
130902,114902,0203295591,"Tenderloin, presented separately",
131002,114902,0203295592,Hams,
131102,114902,0203295599,Other,
89502,63802,0203295900,Other,
33702,10902,0203299000,Other,
702,302,0204000000,"Meat of sheep or goats, fresh, chilled or frozen",
2402,702,0204100000,"Carcases and half-carcases of lamb, fresh or chilled",
11002,2402,0204100010,Of domestic lamb,
11102,2402,0204100090,Other,
2502,702,,"Other meat of sheep, fresh or chilled",
11202,2502,0204210000,Carcases and half-carcases,
33802,11202,0204210010,Of domestic sheep,
33902,11202,0204210090,Other,
11302,2502,0204220000,Other cuts with bone in,
34002,11302,0204221000,Short forequarters,
63902,34002,0204221010,Of domestic sheep,
64002,34002,0204221090,Other,
34102,11302,0204223000,Chines and/or best ends,
64102,34102,0204223010,Of domestic sheep,
64202,34102,0204223090,Other,
34202,11302,0204225000,Legs,
64302,34202,0204225010,Of domestic sheep,
64402,34202,0204225090,Other,
34302,11302,0204229000,Other,
64502,34302,0204229010,Of domestic sheep,
64602,34302,0204229090,Other,
11402,2502,0204230000,Boneless,
34502,11402,,Of domestic sheep,
64702,34502,0204230011,Of lamb,
64802,34502,0204230019,Other,
34702,11402,,Other,
64902,34702,0204230091,Of lamb,
